id,question_en,answer_vi,answer_en,category,search_keyword,detail meaning
561,What does 'stain' mean in English?,làm bẩn,to make dirty or discolored,Vệ sinh,stain,"""Stain"" thường chỉ vết bẩn trên quần áo, tường hoặc vật liệu, cần vệ sinh để loại bỏ."
562,What does 'dirty' mean in English?,làm bẩn,to make something unclean,Vệ sinh,dirty,"""Dirty"" thường dùng mô tả tình trạng bẩn của quần áo, tay, sàn nhà."
563,What does 'soil' mean in English?,làm bẩn,"to make dirty, especially clothes",Vệ sinh,soil,"""Soil"" nghĩa là làm bẩn, thường liên quan tới quần áo, vải vóc hoặc vật liệu mềm."
564,What does 'contaminate' mean in English?,làm nhiễm bẩn,to make impure by exposure to or addition of a poisonous substance,Vệ sinh,contaminate,"""Contaminate"" thường dùng khi nói về nước, thực phẩm, môi trường bị nhiễm bẩn, ô nhiễm."
565,What does 'stain' mean in English?,làm bẩn,to make dirty or discolored,Vệ sinh,stain,"""Stain"" thường chỉ vết bẩn trên quần áo, tường hoặc vật liệu, cần vệ sinh để loại bỏ."
566,What does 'dirty' mean in English?,làm bẩn,to make something unclean,Vệ sinh,dirty,"""Dirty"" thường dùng mô tả tình trạng bẩn của quần áo, tay, sàn nhà."
567,What does 'soil' mean in English?,làm bẩn,"to make dirty, especially clothes",Vệ sinh,soil,"""Soil"" nghĩa là làm bẩn, thường liên quan tới quần áo, vải vóc hoặc vật liệu mềm."
568,What does 'contaminate' mean in English?,làm nhiễm bẩn,to make impure by exposure to or addition of a poisonous substance,Vệ sinh,contaminate,"""Contaminate"" thường dùng khi nói về nước, thực phẩm, môi trường bị nhiễm bẩn, ô nhiễm."
569,What does 'stain' mean in English?,làm bẩn,to make dirty or discolored,Vệ sinh,stain,"""Stain"" thường chỉ vết bẩn trên quần áo, tường hoặc vật liệu, cần vệ sinh để loại bỏ."
570,What does 'dirty' mean in English?,làm bẩn,to make something unclean,Vệ sinh,dirty,"""Dirty"" thường dùng mô tả tình trạng bẩn của quần áo, tay, sàn nhà."
571,What does 'soil' mean in English?,làm bẩn,"to make dirty, especially clothes",Vệ sinh,soil,"""Soil"" nghĩa là làm bẩn, thường liên quan tới quần áo, vải vóc hoặc vật liệu mềm."
572,What does 'contaminate' mean in English?,làm nhiễm bẩn,to make impure by exposure to or addition of a poisonous substance,Vệ sinh,contaminate,"""Contaminate"" thường dùng khi nói về nước, thực phẩm, môi trường bị nhiễm bẩn, ô nhiễm."
573,What does 'stain' mean in English?,làm bẩn,to make dirty or discolored,Vệ sinh,stain,"""Stain"" thường chỉ vết bẩn trên quần áo, tường hoặc vật liệu, cần vệ sinh để loại bỏ."
574,What does 'dirty' mean in English?,làm bẩn,to make something unclean,Vệ sinh,dirty,"""Dirty"" thường dùng mô tả tình trạng bẩn của quần áo, tay, sàn nhà."
575,What does 'soil' mean in English?,làm bẩn,"to make dirty, especially clothes",Vệ sinh,soil,"""Soil"" nghĩa là làm bẩn, thường liên quan tới quần áo, vải vóc hoặc vật liệu mềm."
576,What does 'contaminate' mean in English?,làm nhiễm bẩn,to make impure by exposure to or addition of a poisonous substance,Vệ sinh,contaminate,"""Contaminate"" thường dùng khi nói về nước, thực phẩm, môi trường bị nhiễm bẩn, ô nhiễm."
577,What does 'stain' mean in English?,làm bẩn,to make dirty or discolored,Vệ sinh,stain,"""Stain"" thường chỉ vết bẩn trên quần áo, tường hoặc vật liệu, cần vệ sinh để loại bỏ."
578,What does 'dirty' mean in English?,làm bẩn,to make something unclean,Vệ sinh,dirty,"""Dirty"" thường dùng mô tả tình trạng bẩn của quần áo, tay, sàn nhà."
579,What does 'soil' mean in English?,làm bẩn,"to make dirty, especially clothes",Vệ sinh,soil,"""Soil"" nghĩa là làm bẩn, thường liên quan tới quần áo, vải vóc hoặc vật liệu mềm."
580,What does 'contaminate' mean in English?,làm nhiễm bẩn,to make impure by exposure to or addition of a poisonous substance,Vệ sinh,contaminate,"""Contaminate"" thường dùng khi nói về nước, thực phẩm, môi trường bị nhiễm bẩn, ô nhiễm."
581,What does 'stain' mean in English?,làm bẩn,to make dirty or discolored,Vệ sinh,stain,"""Stain"" thường chỉ vết bẩn trên quần áo, tường hoặc vật liệu, cần vệ sinh để loại bỏ."
582,What does 'dirty' mean in English?,làm bẩn,to make something unclean,Vệ sinh,dirty,"""Dirty"" thường dùng mô tả tình trạng bẩn của quần áo, tay, sàn nhà."
583,What does 'soil' mean in English?,làm bẩn,"to make dirty, especially clothes",Vệ sinh,soil,"""Soil"" nghĩa là làm bẩn, thường liên quan tới quần áo, vải vóc hoặc vật liệu mềm."
584,What does 'contaminate' mean in English?,làm nhiễm bẩn,to make impure by exposure to or addition of a poisonous substance,Vệ sinh,contaminate,"""Contaminate"" thường dùng khi nói về nước, thực phẩm, môi trường bị nhiễm bẩn, ô nhiễm."
585,What does 'stain' mean in English?,làm bẩn,to make dirty or discolored,Vệ sinh,stain,"""Stain"" thường chỉ vết bẩn trên quần áo, tường hoặc vật liệu, cần vệ sinh để loại bỏ."
586,What does 'dirty' mean in English?,làm bẩn,to make something unclean,Vệ sinh,dirty,"""Dirty"" thường dùng mô tả tình trạng bẩn của quần áo, tay, sàn nhà."
587,What does 'soil' mean in English?,làm bẩn,"to make dirty, especially clothes",Vệ sinh,soil,"""Soil"" nghĩa là làm bẩn, thường liên quan tới quần áo, vải vóc hoặc vật liệu mềm."
588,What does 'contaminate' mean in English?,làm nhiễm bẩn,to make impure by exposure to or addition of a poisonous substance,Vệ sinh,contaminate,"""Contaminate"" thường dùng khi nói về nước, thực phẩm, môi trường bị nhiễm bẩn, ô nhiễm."
589,What does 'stain' mean in English?,làm bẩn,to make dirty or discolored,Vệ sinh,stain,"""Stain"" thường chỉ vết bẩn trên quần áo, tường hoặc vật liệu, cần vệ sinh để loại bỏ."
590,What does 'dirty' mean in English?,làm bẩn,to make something unclean,Vệ sinh,dirty,"""Dirty"" thường dùng mô tả tình trạng bẩn của quần áo, tay, sàn nhà."
591,What does 'soil' mean in English?,làm bẩn,"to make dirty, especially clothes",Vệ sinh,soil,"""Soil"" nghĩa là làm bẩn, thường liên quan tới quần áo, vải vóc hoặc vật liệu mềm."
592,What does 'contaminate' mean in English?,làm nhiễm bẩn,to make impure by exposure to or addition of a poisonous substance,Vệ sinh,contaminate,"""Contaminate"" thường dùng khi nói về nước, thực phẩm, môi trường bị nhiễm bẩn, ô nhiễm."
593,What does 'stain' mean in English?,làm bẩn,to make dirty or discolored,Vệ sinh,stain,"""Stain"" thường chỉ vết bẩn trên quần áo, tường hoặc vật liệu, cần vệ sinh để loại bỏ."
594,What does 'dirty' mean in English?,làm bẩn,to make something unclean,Vệ sinh,dirty,"""Dirty"" thường dùng mô tả tình trạng bẩn của quần áo, tay, sàn nhà."
595,What does 'soil' mean in English?,làm bẩn,"to make dirty, especially clothes",Vệ sinh,soil,"""Soil"" nghĩa là làm bẩn, thường liên quan tới quần áo, vải vóc hoặc vật liệu mềm."
596,What does 'contaminate' mean in English?,làm nhiễm bẩn,to make impure by exposure to or addition of a poisonous substance,Vệ sinh,contaminate,"""Contaminate"" thường dùng khi nói về nước, thực phẩm, môi trường bị nhiễm bẩn, ô nhiễm."
597,What does 'stain' mean in English?,làm bẩn,to make dirty or discolored,Vệ sinh,stain,"""Stain"" thường chỉ vết bẩn trên quần áo, tường hoặc vật liệu, cần vệ sinh để loại bỏ."
598,What does 'dirty' mean in English?,làm bẩn,to make something unclean,Vệ sinh,dirty,"""Dirty"" thường dùng mô tả tình trạng bẩn của quần áo, tay, sàn nhà."
599,What does 'soil' mean in English?,làm bẩn,"to make dirty, especially clothes",Vệ sinh,soil,"""Soil"" nghĩa là làm bẩn, thường liên quan tới quần áo, vải vóc hoặc vật liệu mềm."
600,What does 'contaminate' mean in English?,làm nhiễm bẩn,to make impure by exposure to or addition of a poisonous substance,Vệ sinh,contaminate,"""Contaminate"" thường dùng khi nói về nước, thực phẩm, môi trường bị nhiễm bẩn, ô nhiễm."
