id,question_en,answer_vi,answer_en,category,search_keyword,detail_meaning
528,How do you say 'làm nhiễm bẩn' in English?,làm nhiễm bẩn,to make impure by exposure to or addition of a poisonous substance,Vệ sinh,contaminate,"""Contaminate"" thường dùng khi nói về nước, thực phẩm, môi trường bị nhiễm bẩn, ô nhiễm."
529,Translate: 'làm bẩn'.,làm bẩn,to make dirty or discolored,Vệ sinh,stain,"""Stain"" thường chỉ vết bẩn trên quần áo, tường hoặc vật liệu, cần vệ sinh để loại bỏ."
530,Define the word 'dirty'.,làm bẩn,to make something unclean,Vệ sinh,dirty,"""Dirty"" thường dùng mô tả tình trạng bẩn của quần áo, tay, sàn nhà."
531,Fill in the blank: Don't ___ the floor with mud. (soil),làm bẩn,"to make dirty, especially clothes",Vệ sinh,soil,"""Soil"" nghĩa là làm bẩn, thường liên quan tới quần áo, vải vóc hoặc vật liệu mềm."
532,Use 'contaminate' in a sentence.,làm nhiễm bẩn,to make impure by exposure to or addition of a poisonous substance,Vệ sinh,contaminate,"""Contaminate"" thường dùng khi nói về nước, thực phẩm, môi trường bị nhiễm bẩn, ô nhiễm."
533,Translate: 'làm bẩn'.,làm bẩn,to make dirty or discolored,Vệ sinh,stain,"""Stain"" thường chỉ vết bẩn trên quần áo, tường hoặc vật liệu, cần vệ sinh để loại bỏ."
534,What is the difference between 'dirty' and another cleaning word?,làm bẩn,to make something unclean,Vệ sinh,dirty,"""Dirty"" thường dùng mô tả tình trạng bẩn của quần áo, tay, sàn nhà."
535,"Which word describes pollution: stain, soil, or contaminate?",làm bẩn,"to make dirty, especially clothes",Vệ sinh,soil,"""Soil"" nghĩa là làm bẩn, thường liên quan tới quần áo, vải vóc hoặc vật liệu mềm."
536,Fill in the blank: The shirt was ___ by coffee. (contaminate),làm nhiễm bẩn,to make impure by exposure to or addition of a poisonous substance,Vệ sinh,contaminate,"""Contaminate"" thường dùng khi nói về nước, thực phẩm, môi trường bị nhiễm bẩn, ô nhiễm."
537,Use 'stain' in a sentence.,làm bẩn,to make dirty or discolored,Vệ sinh,stain,"""Stain"" thường chỉ vết bẩn trên quần áo, tường hoặc vật liệu, cần vệ sinh để loại bỏ."
538,Define the word 'dirty'.,làm bẩn,to make something unclean,Vệ sinh,dirty,"""Dirty"" thường dùng mô tả tình trạng bẩn của quần áo, tay, sàn nhà."
539,"Which word describes pollution: stain, soil, or contaminate?",làm bẩn,"to make dirty, especially clothes",Vệ sinh,soil,"""Soil"" nghĩa là làm bẩn, thường liên quan tới quần áo, vải vóc hoặc vật liệu mềm."
540,Fill in the blank: Don't ___ the floor with mud. (contaminate),làm nhiễm bẩn,to make impure by exposure to or addition of a poisonous substance,Vệ sinh,contaminate,"""Contaminate"" thường dùng khi nói về nước, thực phẩm, môi trường bị nhiễm bẩn, ô nhiễm."
541,"Which word describes pollution: stain, soil, or contaminate?",làm bẩn,to make dirty or discolored,Vệ sinh,stain,"""Stain"" thường chỉ vết bẩn trên quần áo, tường hoặc vật liệu, cần vệ sinh để loại bỏ."
542,Which word fits this meaning: to make something unclean?,làm bẩn,to make something unclean,Vệ sinh,dirty,"""Dirty"" thường dùng mô tả tình trạng bẩn của quần áo, tay, sàn nhà."
543,Define the word 'soil'.,làm bẩn,"to make dirty, especially clothes",Vệ sinh,soil,"""Soil"" nghĩa là làm bẩn, thường liên quan tới quần áo, vải vóc hoặc vật liệu mềm."
544,Fill in the blank: The shirt was ___ by coffee. (contaminate),làm nhiễm bẩn,to make impure by exposure to or addition of a poisonous substance,Vệ sinh,contaminate,"""Contaminate"" thường dùng khi nói về nước, thực phẩm, môi trường bị nhiễm bẩn, ô nhiễm."
545,Use 'stain' in a sentence.,làm bẩn,to make dirty or discolored,Vệ sinh,stain,"""Stain"" thường chỉ vết bẩn trên quần áo, tường hoặc vật liệu, cần vệ sinh để loại bỏ."
546,How do you say 'làm bẩn' in English?,làm bẩn,to make something unclean,Vệ sinh,dirty,"""Dirty"" thường dùng mô tả tình trạng bẩn của quần áo, tay, sàn nhà."
547,Fill in the blank: Don't ___ the floor with mud. (soil),làm bẩn,"to make dirty, especially clothes",Vệ sinh,soil,"""Soil"" nghĩa là làm bẩn, thường liên quan tới quần áo, vải vóc hoặc vật liệu mềm."
548,How do you say 'làm nhiễm bẩn' in English?,làm nhiễm bẩn,to make impure by exposure to or addition of a poisonous substance,Vệ sinh,contaminate,"""Contaminate"" thường dùng khi nói về nước, thực phẩm, môi trường bị nhiễm bẩn, ô nhiễm."
549,Use 'stain' in a sentence.,làm bẩn,to make dirty or discolored,Vệ sinh,stain,"""Stain"" thường chỉ vết bẩn trên quần áo, tường hoặc vật liệu, cần vệ sinh để loại bỏ."
550,How do you say 'làm bẩn' in English?,làm bẩn,to make something unclean,Vệ sinh,dirty,"""Dirty"" thường dùng mô tả tình trạng bẩn của quần áo, tay, sàn nhà."
551,Fill in the blank: The shirt was ___ by coffee. (soil),làm bẩn,"to make dirty, especially clothes",Vệ sinh,soil,"""Soil"" nghĩa là làm bẩn, thường liên quan tới quần áo, vải vóc hoặc vật liệu mềm."
552,What does 'contaminate' mean in English?,làm nhiễm bẩn,to make impure by exposure to or addition of a poisonous substance,Vệ sinh,contaminate,"""Contaminate"" thường dùng khi nói về nước, thực phẩm, môi trường bị nhiễm bẩn, ô nhiễm."
553,Which word fits this meaning: to make dirty or discolored?,làm bẩn,to make dirty or discolored,Vệ sinh,stain,"""Stain"" thường chỉ vết bẩn trên quần áo, tường hoặc vật liệu, cần vệ sinh để loại bỏ."
554,Use 'dirty' in a sentence.,làm bẩn,to make something unclean,Vệ sinh,dirty,"""Dirty"" thường dùng mô tả tình trạng bẩn của quần áo, tay, sàn nhà."
555,What does 'soil' mean in English?,làm bẩn,"to make dirty, especially clothes",Vệ sinh,soil,"""Soil"" nghĩa là làm bẩn, thường liên quan tới quần áo, vải vóc hoặc vật liệu mềm."
556,Which word fits this meaning: to make impure by exposure to or addition of a poisonous substance?,làm nhiễm bẩn,to make impure by exposure to or addition of a poisonous substance,Vệ sinh,contaminate,"""Contaminate"" thường dùng khi nói về nước, thực phẩm, môi trường bị nhiễm bẩn, ô nhiễm."
557,What is the difference between 'stain' and another cleaning word?,làm bẩn,to make dirty or discolored,Vệ sinh,stain,"""Stain"" thường chỉ vết bẩn trên quần áo, tường hoặc vật liệu, cần vệ sinh để loại bỏ."
558,Which word fits this meaning: to make something unclean?,làm bẩn,to make something unclean,Vệ sinh,dirty,"""Dirty"" thường dùng mô tả tình trạng bẩn của quần áo, tay, sàn nhà."
559,What does 'soil' mean in English?,làm bẩn,"to make dirty, especially clothes",Vệ sinh,soil,"""Soil"" nghĩa là làm bẩn, thường liên quan tới quần áo, vải vóc hoặc vật liệu mềm."
560,What does 'contaminate' mean in English?,làm nhiễm bẩn,to make impure by exposure to or addition of a poisonous substance,Vệ sinh,contaminate,"""Contaminate"" thường dùng khi nói về nước, thực phẩm, môi trường bị nhiễm bẩn, ô nhiễm."
561,How do you say 'làm bẩn' in English?,làm bẩn,to make dirty or discolored,Vệ sinh,stain,"""Stain"" thường chỉ vết bẩn trên quần áo, tường hoặc vật liệu, cần vệ sinh để loại bỏ."
562,How do you say 'làm bẩn' in English?,làm bẩn,to make something unclean,Vệ sinh,dirty,"""Dirty"" thường dùng mô tả tình trạng bẩn của quần áo, tay, sàn nhà."
563,"Which word describes pollution: stain, soil, or contaminate?",làm bẩn,"to make dirty, especially clothes",Vệ sinh,soil,"""Soil"" nghĩa là làm bẩn, thường liên quan tới quần áo, vải vóc hoặc vật liệu mềm."
564,Fill in the blank: Don't ___ the floor with mud. (contaminate),làm nhiễm bẩn,to make impure by exposure to or addition of a poisonous substance,Vệ sinh,contaminate,"""Contaminate"" thường dùng khi nói về nước, thực phẩm, môi trường bị nhiễm bẩn, ô nhiễm."
565,What is the difference between 'stain' and another cleaning word?,làm bẩn,to make dirty or discolored,Vệ sinh,stain,"""Stain"" thường chỉ vết bẩn trên quần áo, tường hoặc vật liệu, cần vệ sinh để loại bỏ."
566,What does 'dirty' mean in English?,làm bẩn,to make something unclean,Vệ sinh,dirty,"""Dirty"" thường dùng mô tả tình trạng bẩn của quần áo, tay, sàn nhà."
567,Translate: 'làm bẩn'.,làm bẩn,"to make dirty, especially clothes",Vệ sinh,soil,"""Soil"" nghĩa là làm bẩn, thường liên quan tới quần áo, vải vóc hoặc vật liệu mềm."
568,What is the difference between 'contaminate' and another cleaning word?,làm nhiễm bẩn,to make impure by exposure to or addition of a poisonous substance,Vệ sinh,contaminate,"""Contaminate"" thường dùng khi nói về nước, thực phẩm, môi trường bị nhiễm bẩn, ô nhiễm."
569,What is the difference between 'stain' and another cleaning word?,làm bẩn,to make dirty or discolored,Vệ sinh,stain,"""Stain"" thường chỉ vết bẩn trên quần áo, tường hoặc vật liệu, cần vệ sinh để loại bỏ."
570,What is the difference between 'dirty' and another cleaning word?,làm bẩn,to make something unclean,Vệ sinh,dirty,"""Dirty"" thường dùng mô tả tình trạng bẩn của quần áo, tay, sàn nhà."
571,What is the difference between 'soil' and another cleaning word?,làm bẩn,"to make dirty, especially clothes",Vệ sinh,soil,"""Soil"" nghĩa là làm bẩn, thường liên quan tới quần áo, vải vóc hoặc vật liệu mềm."
572,Define the word 'contaminate'.,làm nhiễm bẩn,to make impure by exposure to or addition of a poisonous substance,Vệ sinh,contaminate,"""Contaminate"" thường dùng khi nói về nước, thực phẩm, môi trường bị nhiễm bẩn, ô nhiễm."
573,Fill in the blank: Don't ___ the floor with mud. (stain),làm bẩn,to make dirty or discolored,Vệ sinh,stain,"""Stain"" thường chỉ vết bẩn trên quần áo, tường hoặc vật liệu, cần vệ sinh để loại bỏ."
574,Use 'dirty' in a sentence.,làm bẩn,to make something unclean,Vệ sinh,dirty,"""Dirty"" thường dùng mô tả tình trạng bẩn của quần áo, tay, sàn nhà."
575,Fill in the blank: The shirt was ___ by coffee. (soil),làm bẩn,"to make dirty, especially clothes",Vệ sinh,soil,"""Soil"" nghĩa là làm bẩn, thường liên quan tới quần áo, vải vóc hoặc vật liệu mềm."
576,"Which word describes pollution: stain, soil, or contaminate?",làm nhiễm bẩn,to make impure by exposure to or addition of a poisonous substance,Vệ sinh,contaminate,"""Contaminate"" thường dùng khi nói về nước, thực phẩm, môi trường bị nhiễm bẩn, ô nhiễm."
577,Use 'stain' in a sentence.,làm bẩn,to make dirty or discolored,Vệ sinh,stain,"""Stain"" thường chỉ vết bẩn trên quần áo, tường hoặc vật liệu, cần vệ sinh để loại bỏ."
578,Define the word 'dirty'.,làm bẩn,to make something unclean,Vệ sinh,dirty,"""Dirty"" thường dùng mô tả tình trạng bẩn của quần áo, tay, sàn nhà."
579,Fill in the blank: Don't ___ the floor with mud. (soil),làm bẩn,"to make dirty, especially clothes",Vệ sinh,soil,"""Soil"" nghĩa là làm bẩn, thường liên quan tới quần áo, vải vóc hoặc vật liệu mềm."
580,"Which word describes pollution: stain, soil, or contaminate?",làm nhiễm bẩn,to make impure by exposure to or addition of a poisonous substance,Vệ sinh,contaminate,"""Contaminate"" thường dùng khi nói về nước, thực phẩm, môi trường bị nhiễm bẩn, ô nhiễm."
581,Fill in the blank: Don't ___ the floor with mud. (stain),làm bẩn,to make dirty or discolored,Vệ sinh,stain,"""Stain"" thường chỉ vết bẩn trên quần áo, tường hoặc vật liệu, cần vệ sinh để loại bỏ."
582,How do you say 'làm bẩn' in English?,làm bẩn,to make something unclean,Vệ sinh,dirty,"""Dirty"" thường dùng mô tả tình trạng bẩn của quần áo, tay, sàn nhà."
583,Use 'soil' in a sentence.,làm bẩn,"to make dirty, especially clothes",Vệ sinh,soil,"""Soil"" nghĩa là làm bẩn, thường liên quan tới quần áo, vải vóc hoặc vật liệu mềm."
584,What does 'contaminate' mean in English?,làm nhiễm bẩn,to make impure by exposure to or addition of a poisonous substance,Vệ sinh,contaminate,"""Contaminate"" thường dùng khi nói về nước, thực phẩm, môi trường bị nhiễm bẩn, ô nhiễm."
585,Use 'stain' in a sentence.,làm bẩn,to make dirty or discolored,Vệ sinh,stain,"""Stain"" thường chỉ vết bẩn trên quần áo, tường hoặc vật liệu, cần vệ sinh để loại bỏ."
586,Define the word 'dirty'.,làm bẩn,to make something unclean,Vệ sinh,dirty,"""Dirty"" thường dùng mô tả tình trạng bẩn của quần áo, tay, sàn nhà."
587,What does 'soil' mean in English?,làm bẩn,"to make dirty, especially clothes",Vệ sinh,soil,"""Soil"" nghĩa là làm bẩn, thường liên quan tới quần áo, vải vóc hoặc vật liệu mềm."
588,"Which word describes pollution: stain, soil, or contaminate?",làm nhiễm bẩn,to make impure by exposure to or addition of a poisonous substance,Vệ sinh,contaminate,"""Contaminate"" thường dùng khi nói về nước, thực phẩm, môi trường bị nhiễm bẩn, ô nhiễm."
589,What does 'stain' mean in English?,làm bẩn,to make dirty or discolored,Vệ sinh,stain,"""Stain"" thường chỉ vết bẩn trên quần áo, tường hoặc vật liệu, cần vệ sinh để loại bỏ."
590,What is the difference between 'dirty' and another cleaning word?,làm bẩn,to make something unclean,Vệ sinh,dirty,"""Dirty"" thường dùng mô tả tình trạng bẩn của quần áo, tay, sàn nhà."
591,Define the word 'soil'.,làm bẩn,"to make dirty, especially clothes",Vệ sinh,soil,"""Soil"" nghĩa là làm bẩn, thường liên quan tới quần áo, vải vóc hoặc vật liệu mềm."
592,Use 'contaminate' in a sentence.,làm nhiễm bẩn,to make impure by exposure to or addition of a poisonous substance,Vệ sinh,contaminate,"""Contaminate"" thường dùng khi nói về nước, thực phẩm, môi trường bị nhiễm bẩn, ô nhiễm."
593,How do you say 'làm bẩn' in English?,làm bẩn,to make dirty or discolored,Vệ sinh,stain,"""Stain"" thường chỉ vết bẩn trên quần áo, tường hoặc vật liệu, cần vệ sinh để loại bỏ."
594,Define the word 'dirty'.,làm bẩn,to make something unclean,Vệ sinh,dirty,"""Dirty"" thường dùng mô tả tình trạng bẩn của quần áo, tay, sàn nhà."
595,Translate: 'làm bẩn'.,làm bẩn,"to make dirty, especially clothes",Vệ sinh,soil,"""Soil"" nghĩa là làm bẩn, thường liên quan tới quần áo, vải vóc hoặc vật liệu mềm."
596,Which word fits this meaning: to make impure by exposure to or addition of a poisonous substance?,làm nhiễm bẩn,to make impure by exposure to or addition of a poisonous substance,Vệ sinh,contaminate,"""Contaminate"" thường dùng khi nói về nước, thực phẩm, môi trường bị nhiễm bẩn, ô nhiễm."
597,Fill in the blank: Don't ___ the floor with mud. (stain),làm bẩn,to make dirty or discolored,Vệ sinh,stain,"""Stain"" thường chỉ vết bẩn trên quần áo, tường hoặc vật liệu, cần vệ sinh để loại bỏ."
598,Use 'dirty' in a sentence.,làm bẩn,to make something unclean,Vệ sinh,dirty,"""Dirty"" thường dùng mô tả tình trạng bẩn của quần áo, tay, sàn nhà."
599,What does 'soil' mean in English?,làm bẩn,"to make dirty, especially clothes",Vệ sinh,soil,"""Soil"" nghĩa là làm bẩn, thường liên quan tới quần áo, vải vóc hoặc vật liệu mềm."
600,"Which word describes pollution: stain, soil, or contaminate?",làm nhiễm bẩn,to make impure by exposure to or addition of a poisonous substance,Vệ sinh,contaminate,"""Contaminate"" thường dùng khi nói về nước, thực phẩm, môi trường bị nhiễm bẩn, ô nhiễm."
